Confirmed,Date,Type,Label,Address,Amount (DASH),ID
TRUE,2015-07-09T21:58:59,Sent to,,Xj2oKadT5LkMCCo8ZAeGJLYnUHNAX22cGw,-300,67551335eeeddc9952e08ac015631ff2ad977d523dbb0a42ebbc00bfc670c590-001
TRUE,2015-07-09T21:58:59,Sent to,,XjcesSomsTp2NY3rkX4cSc8mfWNHwa6UPz,-700,67551335eeeddc9952e08ac015631ff2ad977d523dbb0a42ebbc00bfc670c590-000
TRUE,2015-07-09T06:01:22,Sent to,,XjcesSomsTp2NY3rkX4cSc8mfWNHwa6UPz,-39,86f27be7b2018a7049945e46a9eede8f9c534d1f641f9f0ad840c8a1f600a42c-001
TRUE,2015-07-09T06:01:22,Sent to,,XqX613fDcrBdkomvN2DSq94w9Usn7G7cZ8,-1.07526027,86f27be7b2018a7049945e46a9eede8f9c534d1f641f9f0ad840c8a1f600a42c-000
TRUE,2015-07-08T17:39:14,Payment to yourself,,,0,16a47c265fd26d45e383897943e09232e0f55dec14fca11707f0a7fd660b4503-000
TRUE,2015-07-08T02:27:08,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.52861889,bb7bc1c6bd5c6c7c82a5c019d7026f1788a779b29db195503bedcac30882036c-000
TRUE,2015-07-03T20:12:52,Payment to yourself,,,0,864e7a99dbb0724795419f43ad764adb8b483158916c6ccbb2f55b7ea44fc4ab-000
TRUE,2015-07-03T11:49:32,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.52899889,227e70429b853beccb5ebaa93588853bf6b73930191ef429591bdb83ac615e30-000
TRUE,2015-06-29T05:08:38,Payment to yourself,,,0,5b7cfa81f0a720dabeb32007f0c5acbe5c5b46f9923fa0410b0563d9aa30c0dc-000
TRUE,2015-06-28T22:59:13,Mined,,XmohHBhJ4bPzKVpiof9rFYbBeu78goTTE2,3.52871389,c42b6c63767bb2d2e4cf50161de886a0328daae28e8d749aea75b281dce44864-000
TRUE,2015-06-26T12:10:24,Received with,,Xs6Eh1JoFfYxeQz5J4NnRBX4UsZ6Um1QaR,9.7,4f1e59aaaecbeefb8e7ebe45ca1fa048fe4f21cb93071c8977bf93973366707f-000
TRUE,2015-06-26T12:10:24,Received with,,Xs6Eh1JoFfYxeQz5J4NnRBX4UsZ6Um1QaR,19.7889286,5689dd4032443677c68f19de12dfb5fddf91d733d992cd73017635f23cc6d93c-000
TRUE,2015-06-26T02:28:24,,,,-0.200002,904e39c4b0e75a4767b4cb38cc6303b210351e38b1a4f34bb9826fca31f6a648-000
TRUE,2015-06-26T01:42:18,,,,-0.600006,84674212a8a0212ab1be793d979998214468fbc03182193315072b0b1dcdd889-000
